"","Fecha","Prec","pet","Q"
"477","09/01/1997",63.02685714,92.03785714,13.22
"478","10/01/1997",36.99157143,107.4731429,13.16
"479","11/01/1997",102.8395714,102.0051429,41.56
"480","12/01/1997",140.3508571,93.89557143,46.04
"481","01/01/1998",137.5095714,94.27185714,80.62
"482","02/01/1998",139.9435714,67.21828571,172.39
"483","03/01/1998",80.60614286,85.465,147.9
"484","04/01/1998",35.991,89.68842857,90.03
"485","05/01/1998",6.837285714,87.91314286,22.68
"486","06/01/1998",0.421142857,69.69271429,12.22
"487","07/01/1998",0.175285714,74.15271429,10.67
"488","08/01/1998",2.125,88.15585714,9.33
"489","09/01/1998",11.60542857,98.93757143,8.92
"490","10/01/1998",47.88742857,106.0314286,9.8
"491","11/01/1998",64.925,102.766,20.58
"492","12/01/1998",78.45057143,94.61485714,32.67
"493","01/01/1999",119.2354286,89.97857143,67.9
"494","02/01/1999",181.1935714,75.77342857,141.94
"495","03/01/1999",190.2805714,78.44057143,245.38
"496","04/01/1999",81.56071429,87.30242857,171.18
"497","05/01/1999",8.128,74.51442857,67.62
"498","06/01/1999",0.367285714,59.85971429,23.92
"499","07/01/1999",0.806142857,61.088,15.36
"500","08/01/1999",0.536,78.99228571,10.68
"501","09/01/1999",55.86028571,93.87185714,9.67
"502","10/01/1999",96.21471429,105.9217143,15.76
"503","11/01/1999",25.55014286,101.563,12.45
"504","12/01/1999",99.26614286,92.73971429,19.33
"505","01/01/2000",170.4641429,87.58071429,99.25
"506","02/01/2000",161.1842857,71.821,NA
"507","03/01/2000",175.4171429,81.09857143,234.68
"508","04/01/2000",22.65471429,87.47728571,59.88
"509","05/01/2000",17.017,79.36257143,29.36
"510","06/01/2000",2.929857143,61.97985714,16.6
"511","07/01/2000",1.076571429,57.61828571,13.76
"512","08/01/2000",5.421714286,84.561,11.9
"513","09/01/2000",13.93314286,97.59157143,11.01
"514","10/01/2000",62.58442857,104.0152857,16.74
"515","11/01/2000",29.74242857,108.561,14.96
